,date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink,type,views,media,artist
0,2020-02-23 17:19:52,Sydney_Talker,,17,96,516,Questions you’ll need to ask before getting a life partnerpic.twitter.com/ZFVKGIoWe5,,,,1.23162976134199E+018,https://twitter.com/Sydney_Talker/status/1231629761341988864,picture,0,pic.twitter.com/Z,Sydney Talker
2,2020-02-22 10:24:33,Sydney_Talker,,105,606,7505,TMG *TOWEL MEN GENG* pic.twitter.com/KUhTsVkG6h,,,,1.23116285616032E+018,https://twitter.com/Sydney_Talker/status/1231162856160317440,oicture,0,pic.twitter.com/K,Sydney Talker
3,2020-02-21 08:36:14,Sydney_Talker,,1448,10661,33683,When you don’t know how to swimpic.twitter.com/IYrGrLzKfY,,,,1.2307732115429E+018,https://twitter.com/Sydney_Talker/status/1230773211542896642,video,271400,pic.twitter.com/I,Sydney Talker
4,2020-02-20 08:42:06,Sydney_Talker,,151,856,11209,LOVE IS BEYOND WHAT YOU SEEpic.twitter.com/Fm0Si9F7bw,,,,1.2304122996572E+018,https://twitter.com/Sydney_Talker/status/1230412299657195520,picture,0,pic.twitter.com/F,Sydney Talker
6,2020-02-15 14:46:33,Sydney_Talker,,303,1583,16751,TRUE LOVE pic.twitter.com/YKLHxFmGAV,,,,1.22869207383194E+018,https://twitter.com/Sydney_Talker/status/1228692073831944192,picture,0,pic.twitter.com/Y,Sydney Talker
7,2020-02-14 08:18:15,Sydney_Talker,,3908,14743,45138,Where can this kind of love be found #TalkersValentineSkitpic.twitter.com/3GN1Spr5EQ,,,#TalkersValentineSkitpic,1.22823197072063E+018,https://twitter.com/Sydney_Talker/status/1228231970720628738,video,427700,pic.twitter.com/3,Sydney Talker
9,2020-02-12 20:26:58,Sydney_Talker,,337,2022,6950,Some Ushers can really make me feel like this I swear!pic.twitter.com/VobXuMEXDR,,,,1.22769058163318E+018,https://twitter.com/Sydney_Talker/status/1227690581633179648,video,56200,pic.twitter.com/V,Sydney Talker
11,2020-02-12 12:34:56,Sydney_Talker,,161,1800,7992,E sure me say there are many people on this twitter that can accept this onions & groundnut union.... Tag them & run #OG2020pic.twitter.com/rqk6bx7eWM,,,#OG2020pic,1.22757178892377E+018,https://twitter.com/Sydney_Talker/status/1227571788923768832,video,52900,pic.twitter.com/r,Sydney Talker
12,2020-02-06 08:13:31,Sydney_Talker,,531,5594,21134,Time waits for nobody!pic.twitter.com/bmXCIGyAOY,,,,1.22533167307362E+018,https://twitter.com/Sydney_Talker/status/1225331673073623040,video,143400,pic.twitter.com/b,Sydney Talker
13,2020-02-05 09:26:34,Sydney_Talker,,552,5560,22373,Thief meet robberpic.twitter.com/Y8AKYoBypg,,,,1.22498767228604E+018,https://twitter.com/Sydney_Talker/status/1224987672286040065,video,147900,pic.twitter.com/Y,Sydney Talker
15,2020-01-26 11:17:32,Sydney_Talker,,938,4870,18831,+1 please share this till the whole world know that a mad man was born today!!! Song: LADY BY ASAKEpic.twitter.com/TRTHLmJNNz,,,,1.22139171924311E+018,https://twitter.com/Sydney_Talker/status/1221391719243112450,video,126600,pic.twitter.com/T,Sydney Talker
17,2020-01-24 12:56:45,Sydney_Talker,,73,281,3132,Lil BK joined the #socialchallenge pic.twitter.com/769JVHL4WW,,,#socialchallenge,1.22069190954027E+018,https://twitter.com/Sydney_Talker/status/1220691909540270080,picture,0,pic.twitter.com/7,Sydney Talker
24,2020-01-22 10:42:33,Sydney_Talker,,25,75,1010,HEY GUYS!!! hope y’all ready to dance because “LADY” by ASAKE is gonna drop on Friday!!!!!pic.twitter.com/BcyfiV2x2h,,,,1.21993336172616E+018,https://twitter.com/Sydney_Talker/status/1219933361726160896,picture,0,pic.twitter.com/B,Sydney Talker
26,2020-01-18 10:55:38,Sydney_Talker,,65,358,2497,The journey begins . Remember this name ASAKE aka MR MONEYpic.twitter.com/jnblVrQQyN,,,,1.21848710227656E+018,https://twitter.com/Sydney_Talker/status/1218487102276558848,video,21800,pic.twitter.com/j,Sydney Talker
31,2020-01-17 14:42:50,Sydney_Talker,,25,237,1403,As you all know am Sydney Egere aka Sydneytalker ( the towel guy ) an online influencer and comedian. Growing Up as a child I fell in love with good music which inspires me every time to create good comedy skits that has brought me thus far. Threadpic.twitter.com/Wn5M7f3T9N,,,,1.21818189026557E+018,https://twitter.com/Sydney_Talker/status/1218181890265567233,picture,0,pic.twitter.com/W,Sydney Talker
32,2020-01-16 22:20:43,Sydney_Talker,,57,260,3054,ARE Y’ALL READY FOR THE BIG ANNOUNCEMENT TOMORROW ??? #TALKERSpic.twitter.com/CjKZLTAtzw,,,#TALKERSpic,1.21793473453959E+018,https://twitter.com/Sydney_Talker/status/1217934734539591682,video,24400,pic.twitter.com/C,Sydney Talker
33,2020-01-15 08:11:51,Sydney_Talker,,1684,12034,39004,When you think you’re smart pic.twitter.com/0RDFKzBTwR,,,,1.21735872265531E+018,https://twitter.com/Sydney_Talker/status/1217358722655313920,video,306100,pic.twitter.com/0,Sydney Talker
34,2020-01-13 12:12:01,Sydney_Talker,,165,621,5990,Bomboclaatpic.twitter.com/3Vs6f0ZtWl,,,,1.21669438854758E+018,https://twitter.com/Sydney_Talker/status/1216694388547575808,video,54100,pic.twitter.com/3,Sydney Talker
36,2020-01-12 10:00:40,Sydney_Talker,,103,269,4743,ANNOUNCING SOMETHING BIG THIS WEEK #TALKERSpic.twitter.com/Mbrv5mmOeJ,,,#TALKERSpic,1.21629894153862E+018,https://twitter.com/Sydney_Talker/status/1216298941538623489,picture,0,pic.twitter.com/M,Sydney Talker
39,2020-01-10 09:07:26,Sydney_Talker,,337,1113,12870,Bomboclaatpic.twitter.com/sS3wMm2KeZ,,,,1.2155607721993E+018,https://twitter.com/Sydney_Talker/status/1215560772199297024,picture,0,pic.twitter.com/s,Sydney Talker
40,2020-01-09 08:55:20,Sydney_Talker,,1849,12652,38481,When you try a new barber pic.twitter.com/QddGcwjEH9,,,,1.21519533869022E+018,https://twitter.com/Sydney_Talker/status/1215195338690220033,video,338500,pic.twitter.com/Q,Sydney Talker
42,2020-01-07 14:25:48,Sydney_Talker,,191,218,4044,Bomboclaatpic.twitter.com/IZDR260SIB,,,,1.21455372648624E+018,https://twitter.com/Sydney_Talker/status/1214553726486241282,picture,0,pic.twitter.com/I,Sydney Talker
43,2020-01-07 09:45:25,Sydney_Talker,,13,50,1129,pic.twitter.com/yiF2wwM4cT,,,,1.21448316539548E+018,https://twitter.com/Sydney_Talker/status/1214483165395476480,picture,0,pic.twitter.com/y,Sydney Talker
44,2020-01-07 09:45:23,Sydney_Talker,,18,90,1501,pic.twitter.com/yWS6BI0NDy,,,,1.21448315703622E+018,https://twitter.com/Sydney_Talker/status/1214483157036216320,picture,0,pic.twitter.com/y,Sydney Talker
45,2020-01-07 09:45:20,Sydney_Talker,,18,38,720,pic.twitter.com/O1O1GzkWI8,,,,1.21448314470496E+018,https://twitter.com/Sydney_Talker/status/1214483144704958464,picture,0,pic.twitter.com/O,Sydney Talker
46,2020-01-07 09:45:17,Sydney_Talker,,298,958,12958,Insanity is doing the same thing and expecting a different result. #talkerspic.twitter.com/1SVbDK9EkB,,,#talkerspic,1.21448313246179E+018,https://twitter.com/Sydney_Talker/status/1214483132461785088,picture,0,pic.twitter.com/1,Sydney Talker
